contrato_id,data_venda,modalidade_contrato,plano,visita
79367,2024-04-01,pessoa física,"plano mensal - r$296,00",Sem Visita
79327,2024-04-01,pessoa física,"plano light - r$148,00",Livance - Botafogo
79304,2024-04-01,pessoa física,"plano anual - r$246,00",Sem Visita
79285,2024-04-01,pessoa física,"plano light - r$148,00",Sem Visita
79284,2024-04-01,pessoa física,"plano light - r$148,00",Sem Visita
79248,2024-04-01,pessoa física,"plano light - r$148,00",Sem Visita
79243,2024-04-01,pessoa física,"plano mensal - r$296,00",Sem Visita
79239,2024-04-01,pessoa física,"plano light anual - r$178,00",Sem Visita
79237,2024-04-01,pessoa física,"plano light - r$148,00",Sem Visita
79037,2024-04-01,pessoa física,"plano light - r$148,00",Livance - Botafogo
78695,2024-04-01,pessoa física,"plano light - r$148,00",Livance - Vila Mariana
78143,2024-04-01,pessoa física,"plano light - r$148,00",Livance - Paulista
77893,2024-04-01,pessoa física,"plano light anual - r$123,00",Livance - Itaim
77757,2024-04-01,pessoa física,"plano light - r$148,00",Livance - Pinheiros
77022,2024-04-01,pessoa física,"plano mensal - r$296,00",Sem Visita
76839,2024-04-01,pessoa física,"plano anual - r$246,00",Livance - Vila Mariana
76554,2024-04-01,pessoa física,"plano light - r$148,00",Livance - Botafogo
75764,2024-04-01,pessoa física,"plano light anual - r$123,00",Livance - Campinas
75739,2024-04-01,pessoa física,"plano light - r$148,00",Livance - Paulista
58362,2024-04-01,pessoa física,"plano light - r$148,00",Sem Visita
51845,2024-04-01,pessoa física,"plano mensal - r$296,00",Livance - Botafogo
46815,2024-04-01,pessoa física,"plano light - r$148,00",Visita Virtual
79490,2024-04-02,pessoa jurídica,"plano mensal - r$296,00",Sem Visita
79363,2024-04-02,pessoa física,"plano mensal - r$296,00",Sem Visita
79303,2024-04-02,pessoa física,"plano anual - r$246,00",Sem Visita
79271,2024-04-02,pessoa física,"plano mensal - r$296,00",Livance - Market Place
79229,2024-04-02,pessoa física,"plano anual - r$246,00",Sem Visita
79217,2024-04-02,pessoa física,"plano mensal - r$296,00",Livance - Brigadeiro
79012,2024-04-02,pessoa física,"plano anual - r$246,00",Livance - Pinheiros
78995,2024-04-02,pessoa física,"plano anual - r$246,00",Livance - Botafogo
78984,2024-04-02,pessoa física,"plano light - r$148,00",Livance - Botafogo
78586,2024-04-02,pessoa física,"plano light - r$148,00",Visita Virtual
78489,2024-04-02,pessoa física,"plano light - r$148,00",Livance - Vila Olímpia
76846,2024-04-02,pessoa física,"plano light - r$148,00",Livance - Tatuapé
76399,2024-04-02,pessoa física,"plano mensal - r$346,00",Livance - Brigadeiro 2
72839,2024-04-02,pessoa física,"plano mensal - r$296,00",Sem Visita
69897,2024-04-02,pessoa física,"plano light - r$148,00",Visita Virtual
65921,2024-04-02,pessoa física,"plano light anual - r$178,00",Visita Virtual
63998,2024-04-02,pessoa física,"plano light - r$148,00",Visita Virtual
79626,2024-04-03,pessoa física,"plano mensal - r$296,00",Sem Visita
79582,2024-04-03,pessoa física,"plano light - r$148,00",Sem Visita
79570,2024-04-03,pessoa física,"plano anual - r$246,00",Sem Visita
79567,2024-04-03,pessoa jurídica,"plano mensal - r$296,00",Sem Visita
79538,2024-04-03,pessoa física,"plano light - r$148,00",Sem Visita
79497,2024-04-03,pessoa jurídica,"plano anual - r$246,00",Sem Visita
79437,2024-04-03,pessoa física,"plano light - r$148,00",Livance - Itaim
79346,2024-04-03,pessoa física,"plano anual - r$246,00",Livance - Botafogo
79183,2024-04-03,pessoa física,"plano anual - r$246,00",Visita Virtual
78946,2024-04-03,pessoa física,"plano anual - r$246,00",Sem Visita
78277,2024-04-03,pessoa física,"plano light - r$148,00",Livance - Vila Olímpia
77728,2024-04-03,pessoa física,"plano anual - r$246,00",Livance - Paulista
76810,2024-04-03,pessoa física,"plano anual - r$246,00",Sem Visita
76013,2024-04-03,pessoa jurídica,"plano mensal - r$296,00",Sem Visita
75634,2024-04-03,pessoa física,"plano light - r$148,00",Visita Virtual
74597,2024-04-03,pessoa física,"plano light - r$148,00",Visita Virtual
74047,2024-04-03,pessoa física,"plano light anual - r$123,00",Livance - Botafogo
59428,2024-04-03,pessoa física,"plano light - r$148,00",Livance - Paulista
37662,2024-04-03,pessoa física,"plano anual - r$246,00",Livance - Angélica
79738,2024-04-04,pessoa física,"plano light - r$148,00",Sem Visita
79728,2024-04-04,pessoa física,"plano anual - r$246,00",Sem Visita
79689,2024-04-04,pessoa física,"plano light - r$148,00",Sem Visita
79684,2024-04-04,pessoa física,"plano light - r$148,00",Sem Visita
79667,2024-04-04,pessoa física,"plano mensal - r$296,00",Sem Visita
79665,2024-04-04,pessoa física,"plano light - r$148,00",Sem Visita
79648,2024-04-04,pessoa física,"plano mensal - r$346,00",Sem Visita
79625,2024-04-04,pessoa jurídica,"plano light anual - r$123,00",Sem Visita
79583,2024-04-04,pessoa física,"plano mensal - r$296,00",Sem Visita
79480,2024-04-04,pessoa física,"plano light - r$148,00",Livance - Paulista
79452,2024-04-04,pessoa física,"plano light - r$148,00",Livance - Paulista
79322,2024-04-04,pessoa física,"plano light - r$148,00",Livance - Brigadeiro
79305,2024-04-04,pessoa física,"plano mensal - r$296,00",Livance - Vila Mariana
79028,2024-04-04,pessoa física,"plano mensal - r$296,00",Livance - Vila Mariana
78676,2024-04-04,pessoa física,"plano mensal - r$296,00",Livance - Pinheiros
78460,2024-04-04,pessoa física,"plano light - r$148,00",Livance - Paulista
78322,2024-04-04,pessoa física,"plano mensal - r$296,00",Sem Visita
78179,2024-04-04,pessoa física,"plano light - r$148,00",Visita Virtual
78101,2024-04-04,pessoa física,"plano light - r$148,00",Sem Visita
77539,2024-04-04,pessoa física,"plano light - r$148,00",Livance - Vila Mariana
76420,2024-04-04,pessoa física,"plano anual - r$246,00",Livance - Angélica
75991,2024-04-04,pessoa física,"plano mensal - r$296,00",Livance - Campinas
75168,2024-04-04,pessoa física,"plano mensal - r$296,00",Livance - Botafogo
72137,2024-04-04,pessoa física,"plano anual - r$246,00",Livance - Tatuapé
70813,2024-04-04,pessoa física,"plano mensal - r$296,00",Livance - Vila Olímpia
38035,2024-04-04,pessoa física,"plano mensal - r$296,00",Livance - Paulista
79811,2024-04-05,pessoa física,"plano light anual - r$178,00",Sem Visita
79809,2024-04-05,pessoa física,"plano mensal - r$296,00",Livance - Alphaville
79802,2024-04-05,pessoa física,"plano anual - r$246,00",Sem Visita
79792,2024-04-05,pessoa física,"plano mensal - r$296,00",Visita Virtual
79663,2024-04-05,pessoa física,"plano light - r$148,00",Livance - Tatuapé
79540,2024-04-05,pessoa física,"plano mensal - r$296,00",Livance - Barra da Tijuca
79536,2024-04-05,pessoa física,"plano light - r$148,00",Livance - Campinas
79345,2024-04-05,pessoa física,"plano light - r$246,00",Sem Visita
79301,2024-04-05,pessoa jurídica,"plano anual - r$246,00",Sem Visita
79269,2024-04-05,pessoa física,"plano light - r$148,00",Livance - Angélica
79066,2024-04-05,pessoa física,"plano anual - r$246,00",Livance - Vila Mariana
79046,2024-04-05,pessoa física,"plano mensal - r$296,00",Livance - Pinheiros
79044,2024-04-05,pessoa física,"plano mensal - r$296,00",Livance - Tatuapé
78726,2024-04-05,pessoa física,"plano light - r$148,00",Visita Virtual
78620,2024-04-05,pessoa física,"plano mensal - r$296,00",Livance - Barra da Tijuca
78508,2024-04-05,pessoa física,"plano anual - r$246,00",Visita Virtual
78163,2024-04-05,pessoa física,"plano light anual - r$178,00",Livance - Vila Mariana
77500,2024-04-05,pessoa física,"plano light - r$148,00",Visita Virtual
76799,2024-04-05,pessoa física,"plano mensal - r$296,00",Livance - Campinas
75841,2024-04-05,pessoa física,"plano light - r$148,00",Livance - Barra da Tijuca
70231,2024-04-05,pessoa física,"plano light - r$148,00",Sem Visita
79657,2024-04-06,pessoa física,"plano light anual - r$178,00",Livance - Alphaville
78485,2024-04-06,pessoa física,"plano anual - r$246,00",Livance - Barra da Tijuca
75268,2024-04-06,pessoa física,"plano light - r$148,00",Visita Virtual
68447,2024-04-06,pessoa física,"plano light anual - r$178,00",Livance - Tatuapé
53698,2024-04-06,pessoa física,"plano anual - r$246,00",Livance - Paulista
79888,2024-04-07,pessoa física,"plano mensal - r$296,00",Livance - Paulista
80041,2024-04-08,pessoa física,"plano anual - r$246,00",Sem Visita
80034,2024-04-08,pessoa física,"plano light anual - r$123,00",Sem Visita
80022,2024-04-08,pessoa física,"plano anual - r$246,00",Sem Visita
80008,2024-04-08,pessoa física,"plano light - r$148,00",Sem Visita
80002,2024-04-08,pessoa física,"plano light - r$148,00",Livance - Paulista
79975,2024-04-08,pessoa física,"plano light - r$148,00",Sem Visita
79973,2024-04-08,pessoa física,"plano anual - r$246,00",Sem Visita
79969,2024-04-08,pessoa jurídica,"plano mensal - r$296,00",Sem Visita
79936,2024-04-08,pessoa física,"plano mensal - r$296,00",Visita Virtual
79754,2024-04-08,pessoa física,"plano light - r$148,00",Sem Visita
79656,2024-04-08,pessoa física,"plano light - r$148,00",Livance - Angélica
79594,2024-04-08,pessoa física,"plano mensal - r$296,00",Livance - Vila Olímpia
79562,2024-04-08,pessoa física,"plano light - r$148,00",Sem Visita
79299,2024-04-08,pessoa física,"plano light - r$148,00",Livance - Botafogo
79155,2024-04-08,pessoa física,"plano light anual - r$123,00",Livance - Vila Mariana
78967,2024-04-08,pessoa física,"plano mensal - r$296,00",Livance - Barra da Tijuca
78862,2024-04-08,pessoa física,"plano mensal - r$296,00",Sem Visita
78100,2024-04-08,pessoa jurídica,"plano mensal - r$296,00",Visita Virtual
77832,2024-04-08,pessoa física,"plano light - r$148,00",Livance - Tatuapé
77465,2024-04-08,pessoa física,"plano anual - r$246,00",Livance - Pinheiros
77112,2024-04-08,pessoa física,"plano mensal - r$296,00",Visita Virtual
76795,2024-04-08,pessoa física,"plano light anual - r$123,00",Livance - Tatuapé
76559,2024-04-08,pessoa física,"plano light - r$148,00",Livance - Pinheiros
75809,2024-04-08,pessoa física,"plano light - r$148,00",Sem Visita
73688,2024-04-08,pessoa física,"plano light - r$148,00",Sem Visita
72792,2024-04-08,pessoa física,"plano light - r$148,00",Sem Visita
72126,2024-04-08,pessoa física,"plano mensal - r$296,00",Livance - Brigadeiro Psico
62239,2024-04-08,pessoa física,"plano mensal - r$296,00",Sem Visita
59242,2024-04-08,pessoa física,"plano anual - r$246,00",Livance - Paulista
53346,2024-04-08,pessoa física,"plano anual - r$246,00",Livance - Tatuapé
47623,2024-04-08,pessoa física,"plano light - r$148,00",Livance - Tatuapé
29728,2024-04-08,pessoa física,"plano light - r$148,00",Visita Virtual
80151,2024-04-09,pessoa física,"plano mensal - r$296,00",Sem Visita
80149,2024-04-09,pessoa física,"plano mensal - r$296,00",Sem Visita
80125,2024-04-09,pessoa física,"plano light - r$148,00",Livance - Tatuapé
80124,2024-04-09,pessoa física,"plano light - r$148,00",Sem Visita
80115,2024-04-09,pessoa física,"plano light - r$148,00",Sem Visita
79982,2024-04-09,pessoa física,"plano anual - r$246,00",Sem Visita
79903,2024-04-09,pessoa física,"plano anual - r$246,00",Sem Visita
79873,2024-04-09,pessoa física,"plano light - r$148,00",Livance - Botafogo
79808,2024-04-09,pessoa física,"plano light - r$148,00",Livance - Campinas
79521,2024-04-09,pessoa física,"plano light - r$148,00",Livance - Brigadeiro Psico
79427,2024-04-09,pessoa física,"plano light - r$148,00",Livance - Botafogo
79376,2024-04-09,pessoa física,"plano anual - r$246,00",Livance - Alphaville
79282,2024-04-09,pessoa física,"plano light anual - r$123,00",Livance - Pinheiros
79238,2024-04-09,pessoa física,"plano light - r$148,00",Livance - Botafogo
79132,2024-04-09,pessoa física,"plano light - r$148,00",Livance - Vila Mariana
78974,2024-04-09,pessoa física,"plano anual - r$246,00",Livance - Pinheiros
77854,2024-04-09,pessoa física,"plano light anual - r$123,00",Visita Virtual
77097,2024-04-09,pessoa física,"plano light - r$148,00",Livance - Tatuapé
75340,2024-04-09,pessoa física,"plano light anual - r$178,00",Visita Virtual
74496,2024-04-09,pessoa física,"plano anual - r$246,00",Livance - Campinas
73814,2024-04-09,pessoa física,"plano mensal - r$296,00",Livance - Paulista
67834,2024-04-09,pessoa física,"plano light - r$148,00",Visita Virtual
55222,2024-04-09,pessoa física,"plano anual - r$246,00",Visita Virtual
53084,2024-04-09,pessoa física,"plano light anual - r$178,00",Livance - Alphaville
48465,2024-04-09,pessoa física,"plano anual - r$246,00",Livance - Paulista
44026,2024-04-09,pessoa física,"plano mensal - r$296,00",Livance - Tatuapé
80393,2024-04-10,pessoa física,"plano light - r$148,00",Sem Visita
80388,2024-04-10,pessoa física,"plano mensal - r$296,00",Livance - Brigadeiro 2
80314,2024-04-10,pessoa física,"plano light - r$148,00",Sem Visita
80287,2024-04-10,pessoa física,"plano mensal - r$296,00",Sem Visita
80274,2024-04-10,pessoa física,"plano light - r$148,00",Sem Visita
80090,2024-04-10,pessoa física,"plano mensal - r$296,00",Livance - Itaim
