id_visita,data_visita,mes_referencia,unidade,tipo_agendamento,ferramenta_agendamento
125127,2025-04-30,2025-04,visita virtual,visita agendada,admin
133195,2025-04-30,2025-04,livance - tatuapé,visita agendada,animus
127371,2025-04-30,2025-04,livance - santos,visita agendada,retool
133005,2025-04-30,2025-04,livance - santos,visita agendada,retool
133042,2025-04-30,2025-04,livance - santos,visita agendada,retool
132597,2025-04-30,2025-04,livance - santo andré psico,visita agendada,retool
108770,2025-04-30,2025-04,livance - santo andré,visita agendada,retool
110217,2025-04-30,2025-04,livance - santo andré,visita agendada,retool
132630,2025-04-30,2025-04,livance - pinheiros,visita agendada,retool
131151,2025-04-30,2025-04,livance - perdizes,visita agendada,retool
132935,2025-04-30,2025-04,livance - perdizes,visita agendada,retool
91403,2025-04-30,2025-04,livance - paulista,visita agendada,retool
132886,2025-04-30,2025-04,livance - paulista,visita agendada,retool
132114,2025-04-30,2025-04,livance - market place,visita agendada,retool
133066,2025-04-30,2025-04,livance - market place,visita agendada,retool
133014,2025-04-30,2025-04,livance - campinas,visita agendada,retool
133033,2025-04-30,2025-04,livance - campinas,visita agendada,retool
133144,2025-04-30,2025-04,livance - campinas,visita agendada,animus
131954,2025-04-30,2025-04,livance - barra da tijuca,visita agendada,retool
132160,2025-04-30,2025-04,livance - barra da tijuca,visita agendada,retool
133057,2025-04-30,2025-04,livance - barra da tijuca,visita agendada,animus
108705,2025-04-30,2025-04,livance - angélica,visita agendada,admin
117533,2025-04-30,2025-04,livance - angélica,visita agendada,retool
133085,2025-04-30,2025-04,livance - angélica,visita agendada,retool
132889,2025-04-30,2025-04,livance - alphaville,visita agendada,animus
131677,2025-04-30,2025-04,livance - santos flex,visita agendada,retool
133109,2025-04-30,2025-04,livance - santo andré,visita agendada,animus
132399,2025-04-30,2025-04,livance - tatuapé,visita agendada,retool
132830,2025-04-30,2025-04,visita virtual,visita agendada,retool
129249,2025-04-30,2025-04,visita virtual,visita agendada,admin
130226,2025-04-30,2025-04,visita virtual,visita agendada,admin
130315,2025-04-30,2025-04,visita virtual,visita agendada,admin
118708,2025-04-30,2025-04,livance - tatuapé,visita agendada,retool
131255,2025-04-30,2025-04,visita virtual,visita agendada,admin
131368,2025-04-30,2025-04,visita virtual,visita agendada,retool
131462,2025-04-30,2025-04,visita virtual,visita agendada,admin
131958,2025-04-30,2025-04,visita virtual,visita agendada,admin
132515,2025-04-30,2025-04,visita virtual,visita agendada,retool
132542,2025-04-30,2025-04,visita virtual,visita agendada,retool
132668,2025-04-30,2025-04,visita virtual,visita agendada,retool
130408,2025-04-30,2025-04,visita virtual,visita agendada,retool
132831,2025-04-30,2025-04,visita virtual,visita agendada,animus
140583,2025-04-30,2025-04,visita virtual,visita agendada,retool
132881,2025-04-30,2025-04,visita virtual,visita agendada,admin
68248,2025-04-30,2025-04,livance - tatuapé,visita agendada,retool
131672,2025-04-30,2025-04,livance - vila mariana,visita agendada,retool
118027,2025-04-30,2025-04,livance - vila olímpia,visita agendada,retool
130580,2025-04-30,2025-04,livance - vila madalena,visita agendada,animus
133192,2025-04-30,2025-04,visita virtual,visita agendada,admin
133170,2025-04-30,2025-04,visita virtual,visita agendada,retool
132956,2025-04-30,2025-04,visita virtual,visita agendada,admin
132931,2025-04-30,2025-04,visita virtual,visita agendada,retool
132462,2025-04-29,2025-04,livance - tatuapé,visita agendada,retool
133025,2025-04-29,2025-04,livance - campinas,visita agendada,animus
132489,2025-04-29,2025-04,livance - tatuapé,visita agendada,retool
132787,2025-04-29,2025-04,livance - santos flex,visita agendada,retool
132463,2025-04-29,2025-04,livance - pinheiros,visita agendada,animus
132686,2025-04-29,2025-04,livance - pinheiros,visita agendada,animus
133030,2025-04-29,2025-04,livance - perdizes,visita agendada,animus
133043,2025-04-29,2025-04,livance - paulista,visita agendada,animus
131528,2025-04-29,2025-04,livance - itaim,visita agendada,retool
131335,2025-04-29,2025-04,livance - barra da tijuca,visita agendada,retool
133001,2025-04-29,2025-04,livance - brigadeiro psico,visita agendada,animus
132536,2025-04-29,2025-04,livance - brigadeiro 2,visita agendada,admin
130981,2025-04-29,2025-04,livance - botafogo,visita agendada,retool
132336,2025-04-29,2025-04,livance - botafogo,visita agendada,retool
132584,2025-04-29,2025-04,livance - barra da tijuca,visita agendada,animus
132759,2025-04-29,2025-04,livance - angélica,visita agendada,retool
132157,2025-04-29,2025-04,livance - alphaville,visita agendada,retool
133090,2025-04-29,2025-04,livance - vila mariana,visita agendada,animus
132995,2025-04-29,2025-04,livance - vila madalena,visita agendada,retool
131678,2025-04-29,2025-04,livance - santo andré psico,visita agendada,retool
133008,2025-04-29,2025-04,livance - vila mariana,visita agendada,retool
131797,2025-04-29,2025-04,visita virtual,visita agendada,admin
123226,2025-04-29,2025-04,livance - vila olímpia,visita agendada,retool
50688,2025-04-29,2025-04,visita virtual,visita agendada,retool
51373,2025-04-29,2025-04,visita virtual,visita agendada,admin
116309,2025-04-29,2025-04,visita virtual,visita agendada,admin
123544,2025-04-29,2025-04,visita virtual,visita agendada,retool
130041,2025-04-29,2025-04,visita virtual,visita agendada,retool
130920,2025-04-29,2025-04,visita virtual,visita agendada,retool
131629,2025-04-29,2025-04,visita virtual,visita agendada,retool
113685,2025-04-29,2025-04,visita virtual,visita agendada,retool
131837,2025-04-29,2025-04,visita virtual,visita agendada,admin
132074,2025-04-29,2025-04,visita virtual,visita agendada,retool
132092,2025-04-29,2025-04,visita virtual,visita agendada,retool
132598,2025-04-29,2025-04,visita virtual,visita agendada,retool
132825,2025-04-29,2025-04,visita virtual,visita agendada,admin
132036,2025-04-29,2025-04,visita virtual,visita agendada,admin
70473,2025-04-29,2025-04,livance - vila olímpia,visita agendada,retool
133004,2025-04-28,2025-04,livance - campinas,visita agendada,animus
130755,2025-04-28,2025-04,livance - paulista,visita agendada,retool
132442,2025-04-28,2025-04,livance - market place,visita agendada,animus
